CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,170,0,60,170
C0002,0,60,0,50,0,180,240,60,60
C0003,110,60,230,180,110,0,170,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,110,60,240,0,180,180,150,40
C0006,100,120,240,0,180,170,60,60,60
C0007,60,60,120,50,110,120,0,180,60
C0008,60,240,170,0,180,120,230,120,0
C0009,60,240,120,160,100,220,110,170,240
C0010,60,220,0,240,0,50,60,180,60
C0011,110,180,0,180,100,180,40,0,120
C0012,120,170,0,240,150,240,230,180,240
C0013,180,0,180,50,60,120,200,120,60
C0014,120,50,0,230,230,240,0,230,120
C0015,0,180,60,230,150,240,0,240,60
C0016,0,110,120,180,60,60,0,50,180
C0017,0,60,50,210,120,180,230,240,180
C0018,240,180,100,230,170,0,240,120,120
C0019,120,50,240,0,0,60,230,120,110
C0020,120,180,0,180,0,0,160,50,0
C0021,170,60,240,60,50,170,240,50,120
C0022,110,40,180,0,110,120,50,0,220
C0023,240,0,50,50,0,0,180,220,60
C0024,170,220,230,240,0,0,120,120,160
C0025,0,210,110,90,230,0,180,240,170
C0026,0,50,180,240,170,0,240,230,50
C0027,0,110,120,60,230,180,0,160,0
C0028,160,230,230,0,170,0,0,0,0
C0029,50,230,240,230,0,60,180,0,110
C0030,60,230,180,110,240,180,40,100,240
C0031,120,50,180,120,50,170,120,120,0
C0032,180,50,180,230,40,0,0,120,60
C0033,110,40,180,0,110,180,220,180,120
C0034,50,120,240,220,180,220,0,170,240
C0035,0,180,120,180,110,180,180,180,110
C0036,120,160,60,240,0,0,120,180,170
C0037,60,120,0,60,110,150,0,180,60
C0038,110,170,0,110,180,0,220,170,240
C0039,230,50,60,180,40,60,110,0,50
C0040,120,50,60,240,60,60,110,60,0
C0041,180,0,240,240,50,60,50,120,60
C0042,240,170,60,240,50,240,180,180,240
C0043,240,120,180,180,50,230,0,100,180
C0044,50,110,60,180,0,230,170,220,180
C0045,0,180,240,180,0,240,50,60,0
C0046,0,50,50,60,110,120,60,50,160
C0047,60,0,100,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,100,0
C0049,240,180,50,180,240,180,240,120,170
C0050,60,100,160,120,60,40,170,180,240
