CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,173,0,60,173
C0002,0,60,0,53,0,180,240,60,60
C0003,113,60,233,180,113,0,173,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,113,60,240,0,180,180,159,46
C0006,106,120,240,0,180,173,60,60,60
C0007,60,60,120,53,113,120,0,180,60
C0008,60,240,173,0,180,120,233,120,0
C0009,60,240,120,166,106,226,113,173,240
C0010,60,226,0,240,0,53,60,180,60
C0011,113,180,0,180,106,180,46,0,120
C0012,120,173,0,240,159,240,233,180,240
C0013,180,0,180,53,60,120,212,120,60
C0014,120,53,0,233,233,240,0,233,120
C0015,0,180,60,233,159,240,0,240,60
C0016,0,113,120,180,60,60,0,53,180
C0017,0,60,53,219,120,180,233,240,180
C0018,240,180,106,233,173,0,240,120,120
C0019,120,53,240,0,0,60,233,120,113
C0020,120,180,0,180,0,0,166,53,0
C0021,173,60,240,60,53,173,240,53,120
C0022,113,46,180,0,113,120,53,0,226
C0023,240,0,53,53,0,0,180,226,60
C0024,173,226,233,240,0,0,120,120,166
C0025,0,219,113,99,233,0,180,240,173
C0026,0,53,180,240,173,0,240,233,53
C0027,0,113,120,60,233,180,0,166,0
C0028,166,233,233,0,173,0,0,0,0
C0029,53,233,240,233,0,60,180,0,113
C0030,60,233,180,113,240,180,46,106,240
C0031,120,53,180,120,53,173,120,120,0
C0032,180,53,180,233,46,0,0,120,60
C0033,113,46,180,0,113,180,226,180,120
C0034,53,120,240,226,180,226,0,173,240
C0035,0,180,120,180,113,180,180,180,113
C0036,120,166,60,240,0,0,120,180,173
C0037,60,120,0,60,113,159,0,180,60
C0038,113,173,0,113,180,0,226,173,240
C0039,233,53,60,180,46,60,113,0,53
C0040,120,53,60,240,60,60,113,60,0
C0041,180,0,240,240,53,60,53,120,60
C0042,240,173,60,240,53,240,180,180,240
C0043,240,120,180,180,53,233,0,106,180
C0044,53,113,60,180,0,233,173,226,180
C0045,0,180,240,180,0,240,53,60,0
C0046,0,53,53,60,113,120,60,53,166
C0047,60,0,106,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,106,0
C0049,240,180,53,180,240,180,240,120,173
C0050,60,106,166,120,60,46,173,180,240
