CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,174,0,60,174
C0002,0,60,0,54,0,180,240,60,60
C0003,114,60,234,180,114,0,174,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,114,60,240,0,180,180,162,48
C0006,108,120,240,0,180,174,60,60,60
C0007,60,60,120,54,114,120,0,180,60
C0008,60,240,174,0,180,120,234,120,0
C0009,60,240,120,168,108,228,114,174,240
C0010,60,228,0,240,0,54,60,180,60
C0011,114,180,0,180,108,180,48,0,120
C0012,120,174,0,240,162,240,234,180,240
C0013,180,0,180,54,60,120,216,120,60
C0014,120,54,0,234,234,240,0,234,120
C0015,0,180,60,234,162,240,0,240,60
C0016,0,114,120,180,60,60,0,54,180
C0017,0,60,54,222,120,180,234,240,180
C0018,240,180,108,234,174,0,240,120,120
C0019,120,54,240,0,0,60,234,120,114
C0020,120,180,0,180,0,0,168,54,0
C0021,174,60,240,60,54,174,240,54,120
C0022,114,48,180,0,114,120,54,0,228
C0023,240,0,54,54,0,0,180,228,60
C0024,174,228,234,240,0,0,120,120,168
C0025,0,222,114,102,234,0,180,240,174
C0026,0,54,180,240,174,0,240,234,54
C0027,0,114,120,60,234,180,0,168,0
C0028,168,234,234,0,174,0,0,0,0
C0029,54,234,240,234,0,60,180,0,114
C0030,60,234,180,114,240,180,48,108,240
C0031,120,54,180,120,54,174,120,120,0
C0032,180,54,180,234,48,0,0,120,60
C0033,114,48,180,0,114,180,228,180,120
C0034,54,120,240,228,180,228,0,174,240
C0035,0,180,120,180,114,180,180,180,114
C0036,120,168,60,240,0,0,120,180,174
C0037,60,120,0,60,114,162,0,180,60
C0038,114,174,0,114,180,0,228,174,240
C0039,234,54,60,180,48,60,114,0,54
C0040,120,54,60,240,60,60,114,60,0
C0041,180,0,240,240,54,60,54,120,60
C0042,240,174,60,240,54,240,180,180,240
C0043,240,120,180,180,54,234,0,108,180
C0044,54,114,60,180,0,234,174,228,180
C0045,0,180,240,180,0,240,54,60,0
C0046,0,54,54,60,114,120,60,54,168
C0047,60,0,108,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,108,0
C0049,240,180,54,180,240,180,240,120,174
C0050,60,108,168,120,60,48,174,180,240
