CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,171,0,60,171
C0002,0,60,0,51,0,180,240,60,60
C0003,111,60,231,180,111,0,171,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,111,60,240,0,180,180,153,42
C0006,102,120,240,0,180,171,60,60,60
C0007,60,60,120,51,111,120,0,180,60
C0008,60,240,171,0,180,120,231,120,0
C0009,60,240,120,162,102,222,111,171,240
C0010,60,222,0,240,0,51,60,180,60
C0011,111,180,0,180,102,180,42,0,120
C0012,120,171,0,240,153,240,231,180,240
C0013,180,0,180,51,60,120,204,120,60
C0014,120,51,0,231,231,240,0,231,120
C0015,0,180,60,231,153,240,0,240,60
C0016,0,111,120,180,60,60,0,51,180
C0017,0,60,51,213,120,180,231,240,180
C0018,240,180,102,231,171,0,240,120,120
C0019,120,51,240,0,0,60,231,120,111
C0020,120,180,0,180,0,0,162,51,0
C0021,171,60,240,60,51,171,240,51,120
C0022,111,42,180,0,111,120,51,0,222
C0023,240,0,51,51,0,0,180,222,60
C0024,171,222,231,240,0,0,120,120,162
C0025,0,213,111,93,231,0,180,240,171
C0026,0,51,180,240,171,0,240,231,51
C0027,0,111,120,60,231,180,0,162,0
C0028,162,231,231,0,171,0,0,0,0
C0029,51,231,240,231,0,60,180,0,111
C0030,60,231,180,111,240,180,42,102,240
C0031,120,51,180,120,51,171,120,120,0
C0032,180,51,180,231,42,0,0,120,60
C0033,111,42,180,0,111,180,222,180,120
C0034,51,120,240,222,180,222,0,171,240
C0035,0,180,120,180,111,180,180,180,111
C0036,120,162,60,240,0,0,120,180,171
C0037,60,120,0,60,111,153,0,180,60
C0038,111,171,0,111,180,0,222,171,240
C0039,231,51,60,180,42,60,111,0,51
C0040,120,51,60,240,60,60,111,60,0
C0041,180,0,240,240,51,60,51,120,60
C0042,240,171,60,240,51,240,180,180,240
C0043,240,120,180,180,51,231,0,102,180
C0044,51,111,60,180,0,231,171,222,180
C0045,0,180,240,180,0,240,51,60,0
C0046,0,51,51,60,111,120,60,51,162
C0047,60,0,102,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,102,0
C0049,240,180,51,180,240,180,240,120,171
C0050,60,102,162,120,60,42,171,180,240
