CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,172,0,60,172
C0002,0,60,0,52,0,180,240,60,60
C0003,112,60,232,180,112,0,172,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,112,60,240,0,180,180,156,44
C0006,104,120,240,0,180,172,60,60,60
C0007,60,60,120,52,112,120,0,180,60
C0008,60,240,172,0,180,120,232,120,0
C0009,60,240,120,164,104,224,112,172,240
C0010,60,224,0,240,0,52,60,180,60
C0011,112,180,0,180,104,180,44,0,120
C0012,120,172,0,240,156,240,232,180,240
C0013,180,0,180,52,60,120,208,120,60
C0014,120,52,0,232,232,240,0,232,120
C0015,0,180,60,232,156,240,0,240,60
C0016,0,112,120,180,60,60,0,52,180
C0017,0,60,52,216,120,180,232,240,180
C0018,240,180,104,232,172,0,240,120,120
C0019,120,52,240,0,0,60,232,120,112
C0020,120,180,0,180,0,0,164,52,0
C0021,172,60,240,60,52,172,240,52,120
C0022,112,44,180,0,112,120,52,0,224
C0023,240,0,52,52,0,0,180,224,60
C0024,172,224,232,240,0,0,120,120,164
C0025,0,216,112,96,232,0,180,240,172
C0026,0,52,180,240,172,0,240,232,52
C0027,0,112,120,60,232,180,0,164,0
C0028,164,232,232,0,172,0,0,0,0
C0029,52,232,240,232,0,60,180,0,112
C0030,60,232,180,112,240,180,44,104,240
C0031,120,52,180,120,52,172,120,120,0
C0032,180,52,180,232,44,0,0,120,60
C0033,112,44,180,0,112,180,224,180,120
C0034,52,120,240,224,180,224,0,172,240
C0035,0,180,120,180,112,180,180,180,112
C0036,120,164,60,240,0,0,120,180,172
C0037,60,120,0,60,112,156,0,180,60
C0038,112,172,0,112,180,0,224,172,240
C0039,232,52,60,180,44,60,112,0,52
C0040,120,52,60,240,60,60,112,60,0
C0041,180,0,240,240,52,60,52,120,60
C0042,240,172,60,240,52,240,180,180,240
C0043,240,120,180,180,52,232,0,104,180
C0044,52,112,60,180,0,232,172,224,180
C0045,0,180,240,180,0,240,52,60,0
C0046,0,52,52,60,112,120,60,52,164
C0047,60,0,104,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,104,0
C0049,240,180,52,180,240,180,240,120,172
C0050,60,104,164,120,60,44,172,180,240
