CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,178,0,60,178
C0002,0,60,0,58,0,180,240,60,60
C0003,118,60,238,180,118,0,178,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,118,60,240,0,180,180,174,56
C0006,116,120,240,0,180,178,60,60,60
C0007,60,60,120,58,118,120,0,180,60
C0008,60,240,178,0,180,120,238,120,0
C0009,60,240,120,176,116,236,118,178,240
C0010,60,236,0,240,0,58,60,180,60
C0011,118,180,0,180,116,180,56,0,120
C0012,120,178,0,240,174,240,238,180,240
C0013,180,0,180,58,60,120,232,120,60
C0014,120,58,0,238,238,240,0,238,120
C0015,0,180,60,238,174,240,0,240,60
C0016,0,118,120,180,60,60,0,58,180
C0017,0,60,58,234,120,180,238,240,180
C0018,240,180,116,238,178,0,240,120,120
C0019,120,58,240,0,0,60,238,120,118
C0020,120,180,0,180,0,0,176,58,0
C0021,178,60,240,60,58,178,240,58,120
C0022,118,56,180,0,118,120,58,0,236
C0023,240,0,58,58,0,0,180,236,60
C0024,178,236,238,240,0,0,120,120,176
C0025,0,234,118,114,238,0,180,240,178
C0026,0,58,180,240,178,0,240,238,58
C0027,0,118,120,60,238,180,0,176,0
C0028,176,238,238,0,178,0,0,0,0
C0029,58,238,240,238,0,60,180,0,118
C0030,60,238,180,118,240,180,56,116,240
C0031,120,58,180,120,58,178,120,120,0
C0032,180,58,180,238,56,0,0,120,60
C0033,118,56,180,0,118,180,236,180,120
C0034,58,120,240,236,180,236,0,178,240
C0035,0,180,120,180,118,180,180,180,118
C0036,120,176,60,240,0,0,120,180,178
C0037,60,120,0,60,118,174,0,180,60
C0038,118,178,0,118,180,0,236,178,240
C0039,238,58,60,180,56,60,118,0,58
C0040,120,58,60,240,60,60,118,60,0
C0041,180,0,240,240,58,60,58,120,60
C0042,240,178,60,240,58,240,180,180,240
C0043,240,120,180,180,58,238,0,116,180
C0044,58,118,60,180,0,238,178,236,180
C0045,0,180,240,180,0,240,58,60,0
C0046,0,58,58,60,118,120,60,58,176
C0047,60,0,116,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,116,0
C0049,240,180,58,180,240,180,240,120,178
C0050,60,116,176,120,60,56,178,180,240
