CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,176,0,60,176
C0002,0,60,0,56,0,180,240,60,60
C0003,116,60,236,180,116,0,176,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,116,60,240,0,180,180,168,52
C0006,112,120,240,0,180,176,60,60,60
C0007,60,60,120,56,116,120,0,180,60
C0008,60,240,176,0,180,120,236,120,0
C0009,60,240,120,172,112,232,116,176,240
C0010,60,232,0,240,0,56,60,180,60
C0011,116,180,0,180,112,180,52,0,120
C0012,120,176,0,240,168,240,236,180,240
C0013,180,0,180,56,60,120,224,120,60
C0014,120,56,0,236,236,240,0,236,120
C0015,0,180,60,236,168,240,0,240,60
C0016,0,116,120,180,60,60,0,56,180
C0017,0,60,56,228,120,180,236,240,180
C0018,240,180,112,236,176,0,240,120,120
C0019,120,56,240,0,0,60,236,120,116
C0020,120,180,0,180,0,0,172,56,0
C0021,176,60,240,60,56,176,240,56,120
C0022,116,52,180,0,116,120,56,0,232
C0023,240,0,56,56,0,0,180,232,60
C0024,176,232,236,240,0,0,120,120,172
C0025,0,228,116,108,236,0,180,240,176
C0026,0,56,180,240,176,0,240,236,56
C0027,0,116,120,60,236,180,0,172,0
C0028,172,236,236,0,176,0,0,0,0
C0029,56,236,240,236,0,60,180,0,116
C0030,60,236,180,116,240,180,52,112,240
C0031,120,56,180,120,56,176,120,120,0
C0032,180,56,180,236,52,0,0,120,60
C0033,116,52,180,0,116,180,232,180,120
C0034,56,120,240,232,180,232,0,176,240
C0035,0,180,120,180,116,180,180,180,116
C0036,120,172,60,240,0,0,120,180,176
C0037,60,120,0,60,116,168,0,180,60
C0038,116,176,0,116,180,0,232,176,240
C0039,236,56,60,180,52,60,116,0,56
C0040,120,56,60,240,60,60,116,60,0
C0041,180,0,240,240,56,60,56,120,60
C0042,240,176,60,240,56,240,180,180,240
C0043,240,120,180,180,56,236,0,112,180
C0044,56,116,60,180,0,236,176,232,180
C0045,0,180,240,180,0,240,56,60,0
C0046,0,56,56,60,116,120,60,56,172
C0047,60,0,112,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,112,0
C0049,240,180,56,180,240,180,240,120,176
C0050,60,112,172,120,60,52,176,180,240
