CollegeCode,CSE,IT,ME,EE,EC,IC,CH,CIVIL,AUTO
C0001,240,120,0,0,180,177,0,60,177
C0002,0,60,0,57,0,180,240,60,60
C0003,117,60,237,180,117,0,177,180,0
C0004,120,60,0,60,0,180,60,120,0
C0005,180,117,60,240,0,180,180,171,54
C0006,114,120,240,0,180,177,60,60,60
C0007,60,60,120,57,117,120,0,180,60
C0008,60,240,177,0,180,120,237,120,0
C0009,60,240,120,174,114,234,117,177,240
C0010,60,234,0,240,0,57,60,180,60
C0011,117,180,0,180,114,180,54,0,120
C0012,120,177,0,240,171,240,237,180,240
C0013,180,0,180,57,60,120,228,120,60
C0014,120,57,0,237,237,240,0,237,120
C0015,0,180,60,237,171,240,0,240,60
C0016,0,117,120,180,60,60,0,57,180
C0017,0,60,57,231,120,180,237,240,180
C0018,240,180,114,237,177,0,240,120,120
C0019,120,57,240,0,0,60,237,120,117
C0020,120,180,0,180,0,0,174,57,0
C0021,177,60,240,60,57,177,240,57,120
C0022,117,54,180,0,117,120,57,0,234
C0023,240,0,57,57,0,0,180,234,60
C0024,177,234,237,240,0,0,120,120,174
C0025,0,231,117,111,237,0,180,240,177
C0026,0,57,180,240,177,0,240,237,57
C0027,0,117,120,60,237,180,0,174,0
C0028,174,237,237,0,177,0,0,0,0
C0029,57,237,240,237,0,60,180,0,117
C0030,60,237,180,117,240,180,54,114,240
C0031,120,57,180,120,57,177,120,120,0
C0032,180,57,180,237,54,0,0,120,60
C0033,117,54,180,0,117,180,234,180,120
C0034,57,120,240,234,180,234,0,177,240
C0035,0,180,120,180,117,180,180,180,117
C0036,120,174,60,240,0,0,120,180,177
C0037,60,120,0,60,117,171,0,180,60
C0038,117,177,0,117,180,0,234,177,240
C0039,237,57,60,180,54,60,117,0,57
C0040,120,57,60,240,60,60,117,60,0
C0041,180,0,240,240,57,60,57,120,60
C0042,240,177,60,240,57,240,180,180,240
C0043,240,120,180,180,57,237,0,114,180
C0044,57,117,60,180,0,237,177,234,180
C0045,0,180,240,180,0,240,57,60,0
C0046,0,57,57,60,117,120,60,57,174
C0047,60,0,114,60,0,120,0,0,120
C0048,0,60,240,0,180,120,60,114,0
C0049,240,180,57,180,240,180,240,120,177
C0050,60,114,174,120,60,54,177,180,240
